id,title,date,type,location,metadata
1,Feira do Artesanato Tremembeense (FEIRARTTRE),2024-01-15,Artístico/Cultural/Folclórico,Tremembé/SP,"width=device-width, initial-scale=1"
2,Feira Livre de Bicas,2024-02-03,Gastronômico,Bicas/MG,"width=device-width, initial-scale=1"
3,Segundona do Turista 2024,2024-03-18,Artístico/Cultural/Folclórico,Aracaju/SE,"width=device-width, initial-scale=1"
4,EVENTO DAS QUATRO ESTAÇÕES,2024-05-04,Artístico/Cultural/Folclórico,Cachoeiras de Macacu/RJ,"width=device-width, initial-scale=1"
5,TRADICIONAL FESTA DE REINADO,2024-05-05,Religioso,Santo Antônio do Monte/MG,"width=device-width, initial-scale=1"
6,Tricofest,2024-05-10,Moda,Nova Petrópolis/RS,"width=device-width, initial-scale=1"
7,Exposição Multissensorial: 'Blow Up',2024-05-10,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
8,Gincana de charretes,2024-05-12,Rural,Holambra/SP,"width=device-width, initial-scale=1"
9,Festa Junina Beneficente de Votorantim,2024-05-29,Junino,Votorantim/SP,"width=device-width, initial-scale=1"
10,São João de Campina Grande,2024-05-29,Junino,Campina Grande/PB,"width=device-width, initial-scale=1"
11,GUAXUPÉ CAFÉ FESTIVAL,2024-05-30,Artístico/Cultural/Folclórico,Guaxupé/MG,"width=device-width, initial-scale=1"
12,Festejos Santo Antonio Tanquinho,2024-06-01,Junino,Lençóis/BA,"width=device-width, initial-scale=1"
13,Vila Junina,2024-06-01,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
14,Arraiá do Povo 2024,2024-06-01,Junino,Aracaju/SE,"width=device-width, initial-scale=1"
15,Festa do Vaqueiro de Morada Nova,2024-06-02,Artístico/Cultural/Folclórico,Morada Nova/CE,"width=device-width, initial-scale=1"
16,Festa de Santo Antônio,2024-06-04,Religioso,Nhamundá/AM,"width=device-width, initial-scale=1"
17,20ª Feira do Livro de Joinville,2024-06-06,Artístico/Cultural/Folclórico,Joinville/SC,"width=device-width, initial-scale=1"
18,EXPOTCHÊ,2024-06-07,Artístico/Cultural/Folclórico,Brasília/DF,"width=device-width, initial-scale=1"
19,CIRCUITO JUNINO,2024-06-08,Junino,São João da Barra/RJ,"width=device-width, initial-scale=1"
20,Cidade Junina,2024-06-08,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
21,Micareta Alto Folia,2024-06-08,Artístico/Cultural/Folclórico,Alto Santo/CE,"width=device-width, initial-scale=1"
22,FEIPET 2024,2024-06-09,Comercial ou Promocional,Novo Hamburgo/RS,"width=device-width, initial-scale=1"
23,São João da Vitória de Pé de Serra,2024-06-10,Junino,Vitória de Santo Antão/PE,"width=device-width, initial-scale=1"
24,Festividades Juninas,2024-06-10,Junino,Marechal Deodoro/AL,"width=device-width, initial-scale=1"
25,EMANCIPAÇÃO POLÍTICA DO MUNICÍPIO,2024-06-11,Social/Cívico/Histórico,Japaratuba/SE,"width=device-width, initial-scale=1"
26,CAVALGADA DE BIELÂNDIA - FILADÉLFIA,2024-06-11,Artístico/Cultural/Folclórico,Filadélfia/TO,"width=device-width, initial-scale=1"
27,Megaleite - Exposição Brasileira do Agronegócio do Leite,2024-06-11,Comercial ou Promocional,Belo Horizonte/MG,"width=device-width, initial-scale=1"
28,São João de Santa Rita,2024-06-12,Junino,Santa Rita/PB,"width=device-width, initial-scale=1"
29,40ª Feistock - Feira de Móveis e Decoração,2024-06-13,Comercial ou Promocional,São Bento do Sul/SC,"width=device-width, initial-scale=1"
30,Festival do Queijo Artesanal de Minas,2024-06-13,Gastronômico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
31,Festa de Santo Antônio de Tanquinho,2024-06-13,Artístico/Cultural/Folclórico,Lençóis/BA,"width=device-width, initial-scale=1"
32,CHOCOLAT XINGU - FESTIVAL INTERNACIONAL DO CHOCOLATE E CACAU DA TRANSA...,2024-06-13,Outro,Altamira/PA,"width=device-width, initial-scale=1"
33,Forronovos,2024-06-13,Artístico/Cultural/Folclórico,Currais Novos/RN,"width=device-width, initial-scale=1"
34,Festa de Santo Antônio e Seus Amigos,2024-06-13,Artístico/Cultural/Folclórico,Santo Antônio do Pinhal/SP,"width=device-width, initial-scale=1"
35,Festa Junina da Escola Estadual Dinalva Maria de Souza,2024-06-13,Junino,Pingo-D'Água/MG,"width=device-width, initial-scale=1"
36,FESTA JUNINA 2024,2024-06-14,Junino,Pirajuba/MG,"width=device-width, initial-scale=1"
37,ENCONTRO NACIONAL DE CARROS ANTIGOS,2024-06-14,Artístico/Cultural/Folclórico,Jataí/GO,"width=device-width, initial-scale=1"
38,FESTA DE SÃO JOÃO DE MACHACALIS,2024-06-14,Junino,Machacalis/MG,"width=device-width, initial-scale=1"
39,São Roque Fest 2024,2024-06-14,Artístico/Cultural/Folclórico,São Roque/SP,"width=device-width, initial-scale=1"
40,Festa de São João Batista,2024-06-14,Religioso,Laranjal Paulista/SP,"width=device-width, initial-scale=1"
41,São João da Tradição,2024-06-14,Junino,São Cristóvão/SE,"width=device-width, initial-scale=1"
42,Aniversário do Distrito de Pirituba,2024-06-15,Artístico/Cultural/Folclórico,Vitória de Santo Antão/PE,"width=device-width, initial-scale=1"
43,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-06-15,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
44,II FESTIVAL JUNINO DO RESTAURANTE NAZARIA,2024-06-15,Junino,Nazária/PI,"width=device-width, initial-scale=1"
45,Festa de Aniversário da Cidade,2024-06-15,Artístico/Cultural/Folclórico,Salto/SP,"width=device-width, initial-scale=1"
46,ANARRIÊ BÚZIOS,2024-06-15,Artístico/Cultural/Folclórico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
47,Festival de Inverno - Serra Negra In Concert,2024-06-15,Artístico/Cultural/Folclórico,Serra Negra/SP,"width=device-width, initial-scale=1"
48,Corrida de São João,2024-06-16,Esportivo,Votorantim/SP,"width=device-width, initial-scale=1"
49,Cavalgada Tanquinho X Lençóis,2024-06-16,Junino,Lençóis/BA,"width=device-width, initial-scale=1"
50,São João de Lençóis,2024-06-17,Junino,Lençóis/BA,"width=device-width, initial-scale=1"
51,Modernos Eternos,2024-06-18,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
52,Hortitec,2024-06-19,Outro,Holambra/SP,"width=device-width, initial-scale=1"
53,FEIRA LITÉRARIA DE ARAXÁ-FLIARAXÁ,2024-06-19,Artístico/Cultural/Folclórico,Araxá/MG,"width=device-width, initial-scale=1"
54,XVI Encontro Nacional de Ferramentarias – ENAFER 2024,2024-06-20,Científico ou Técnico,Joinville/SC,"width=device-width, initial-scale=1"
55,28° Forró Ananindeua,2024-06-20,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
56,São João de João Pessoa,2024-06-20,Junino,João Pessoa/PB,"width=device-width, initial-scale=1"
57,SÃO JOÃO DE CUITÉ,2024-06-20,Junino,Cuité/PB,"width=device-width, initial-scale=1"
58,FESTIVAL DE BOI EM MINIATURA.,2024-06-21,Artístico/Cultural/Folclórico,Parintins/AM,"width=device-width, initial-scale=1"
59,BLUES NAS RUAS,2024-06-21,Artístico/Cultural/Folclórico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
60,"FESTIVAL DE QUADRILHAS, DANÇAS E BOIS MIRINS.",2024-06-21,Artístico/Cultural/Folclórico,Parintins/AM,"width=device-width, initial-scale=1"
61,Action Way Cup,2024-06-21,Esportivo,Brotas/SP,"width=device-width, initial-scale=1"
62,Arraiá do Juca: O destino da Alegria,2024-06-21,Junino,Pojuca/BA,"width=device-width, initial-scale=1"
63,"SÃO JOÃO ""SANJU UNARRIÊ",2024-06-21,Junino,Valença/BA,"width=device-width, initial-scale=1"
64,São João de Ipirá - Arraiá do Camisão,2024-06-21,Junino,Ipirá/BA,"width=device-width, initial-scale=1"
65,São João da Tradição,2024-06-21,Artístico/Cultural/Folclórico,Mucugê/BA,"width=device-width, initial-scale=1"
66,São João do Montenegro,2024-06-21,Junino,Montenegro/RS,"width=device-width, initial-scale=1"
67,O Maior Pé de Serra da Chapada Diamantina,2024-06-21,Junino,Andaraí/BA,"width=device-width, initial-scale=1"
68,São João do Montenegro,2024-06-21,Artístico/Cultural/Folclórico,Montenegro/RS,"width=device-width, initial-scale=1"
69,Arraial Zeca Teixeira 2024,2024-06-21,Junino,Grajaú/MA,"width=device-width, initial-scale=1"
70,WTR - World Trail Races (Corridas Mundiais de Trilha),2024-06-22,Esportivo,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
71,2° Torneio de Pesca Esportiva do Tucunaré,2024-06-22,Esportivo,Ananindeua/PA,"width=device-width, initial-scale=1"
72,Banho de São João de Ladário MS,2024-06-22,Junino,Ladário/MS,"width=device-width, initial-scale=1"
73,28ª Edição do Forró Alegre,2024-06-22,Junino,Monte Alegre de Sergipe/SE,"width=device-width, initial-scale=1"
74,São João 2024 de Salgadinho,2024-06-22,Junino,Salgadinho/PE,"width=device-width, initial-scale=1"
75,35ª Feira de Inverno,2024-06-22,Comercial ou Promocional,Flores da Cunha/RS,"width=device-width, initial-scale=1"
76,Aniversário da cidade,2024-06-23,Outro,Pium/TO,"width=device-width, initial-scale=1"
77,Feira Profissional de Beleza – Professional Fair,2024-06-23,Moda,Belo Horizonte/MG,"width=device-width, initial-scale=1"
78,Estética e Micro - Feira e Congresso,2024-06-23,Comercial ou Promocional,Belo Horizonte/MG,"width=device-width, initial-scale=1"
79,Estética e Micro - Feira e Congresso,2024-06-23,Comercial ou Promocional,Belo Horizonte/MG,"width=device-width, initial-scale=1"
80,Forró Caju 2024,2024-06-23,Junino,Aracaju/SE,"width=device-width, initial-scale=1"
81,Feira de Turismo do Brasil,2024-06-25,Outro,Teresina/PI,"width=device-width, initial-scale=1"
82,I Fórum de Geoparques,2024-06-25,Científico ou Técnico,Currais Novos/RN,"width=device-width, initial-scale=1"
83,Disney on Ice,2024-06-26,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
84,FESTA DE SÃO PEDRO,2024-06-26,Religioso,Valença/BA,"width=device-width, initial-scale=1"
85,Festa dos visitantes,2024-06-27,Artístico/Cultural/Folclórico,Parintins/AM,"width=device-width, initial-scale=1"
86,EXPOSIÇÃO AGROPECUÁRIA DE PAPUCAIA,2024-06-27,Rural,Cachoeiras de Macacu/RJ,"width=device-width, initial-scale=1"
87,ExpoQueijo Brasil 2024 – Araxá International Cheese Awards,2024-06-27,Gastronômico,Araxá/MG,"width=device-width, initial-scale=1"
88,36ª Cerejeiras Festival,2024-06-27,Artístico/Cultural/Folclórico,Garça/SP,"width=device-width, initial-scale=1"
89,ARRAIÁ DO POVO,2024-06-27,Artístico/Cultural/Folclórico,Macapá/AP,"width=device-width, initial-scale=1"
90,ARRAIA NO PARAISO,2024-06-28,Junino,Paraíso do Tocantins/TO,"width=device-width, initial-scale=1"
91,4º Arraiá de Córrego Fundo,2024-06-28,Junino,Córrego Fundo/MG,"width=device-width, initial-scale=1"
92,Festa do São Pedro Apóstolo (Padroeiro da Cidade),2024-06-28,Religioso,Praia Grande/SP,"width=device-width, initial-scale=1"
93,Torneio Internacional de Pesca ao Tucunaré,2024-06-28,Esportivo,São Miguel do Iguaçu/PR,"width=device-width, initial-scale=1"
94,3º FESTIVAL VIANENSE DE ARRAIÁS,2024-06-28,Artístico/Cultural/Folclórico,Viana/ES,"width=device-width, initial-scale=1"
95,"2º Encontro de Motociclistas e de Carros Antigos de Cristais, Minas G...",2024-06-28,Artístico/Cultural/Folclórico,Cristais/MG,"width=device-width, initial-scale=1"
96,XX Festejo Várzea Alegre Junina,2024-06-28,Junino,Várzea Alegre/CE,"width=device-width, initial-scale=1"
97,SÃO PEDRO NA SERRA,2024-06-28,Junino,Muritiba/BA,"width=device-width, initial-scale=1"
98,Festival Junino 2024,2024-06-28,Junino,Paragominas/PA,"width=device-width, initial-scale=1"
99,Feira de Artesanato,2024-06-28,Artístico/Cultural/Folclórico,Parintins/AM,"width=device-width, initial-scale=1"
100,FESTIVAL FOLCLÓRICO DE PARINTINS,2024-06-28,Artístico/Cultural/Folclórico,Parintins/AM,"width=device-width, initial-scale=1"
101,Romaria do Divino Pai Eterno,2024-06-28,Religioso,Trindade/GO,"width=device-width, initial-scale=1"
102,Expo Itaguaí,2024-06-28,Outro,Itaguaí/RJ,"width=device-width, initial-scale=1"
103,Festa Nacional da Tainha,2024-06-28,Gastronômico,Paranaguá/PR,"width=device-width, initial-scale=1"
104,Festival Sabores da Colônia,2024-06-28,Gastronômico,Nova Petrópolis/RS,"width=device-width, initial-scale=1"
105,8º Festival de Inverno Guararema,2024-06-28,Artístico/Cultural/Folclórico,Guararema/SP,"width=device-width, initial-scale=1"
106,Festiqueijo,2024-06-28,Gastronômico,Carlos Barbosa/RS,"width=device-width, initial-scale=1"
107,Feira Feito em Barbosa,2024-06-28,Comercial ou Promocional,Carlos Barbosa/RS,"width=device-width, initial-scale=1"
108,FESTA JUNINA,2024-06-29,Junino,Caroebe/RR,"width=device-width, initial-scale=1"
109,Festa do Milho,2024-06-29,Rural,Lajes/RN,"width=device-width, initial-scale=1"
110,Juninão de Ibirá,2024-06-29,Junino,Ibirá/SP,"width=device-width, initial-scale=1"
111,Festa de São Pedro Padroeiro,2024-06-29,Religioso,São Pedro da Aldeia/RJ,"width=device-width, initial-scale=1"
112,FESTA DOS PESCADORES,2024-06-29,Religioso,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
113,São Pedro na Estiva,2024-06-29,Rural,Lençóis/BA,"width=device-width, initial-scale=1"
114,Festival de Gastronomia Caiçara,2024-06-30,Gastronômico,Pontal do Paraná/PR,"width=device-width, initial-scale=1"
115,III São Nicolau Bike,2024-06-30,Ecoturismo,Santa Cruz dos Milagres/PI,"width=device-width, initial-scale=1"
116,Festival de Gastronomia Caiçara,2024-07-01,Gastronômico,Pontal do Paraná/PR,"width=device-width, initial-scale=1"
117,Festa do Peão de Boiadeiro,2024-07-02,Social/Cívico/Histórico,Salto de Pirapora/SP,"width=device-width, initial-scale=1"
118,16º Transcatarina,2024-07-03,Esportivo,Fraiburgo/SC,"width=device-width, initial-scale=1"
119,Expo Turismo Goiás,2024-07-04,Artístico/Cultural/Folclórico,Goiânia/GO,"width=device-width, initial-scale=1"
120,São João de Caucaia 2024,2024-07-04,Junino,Caucaia/CE,"width=device-width, initial-scale=1"
121,PIAUI RALLY CUP 2024,2024-07-04,Esportivo,Luís Correia/PI,"width=device-width, initial-scale=1"
122,Mantiqueira Fest,2024-07-04,Gastronômico,Poços de Caldas/MG,"width=device-width, initial-scale=1"
123,33ª Expocachaça e 17ª Brasilbier,2024-07-04,Gastronômico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
124,Guarapuava Gastronômica,2024-07-04,Gastronômico,Guarapuava/PR,"width=device-width, initial-scale=1"
125,"Temporada de Inverno, Feirart e Festa da Orquídea",2024-07-04,Artístico/Cultural/Folclórico,Santo Antônio do Pinhal/SP,"width=device-width, initial-scale=1"
126,Caipiratuba,2024-07-05,Junino,Piratuba/SC,"width=device-width, initial-scale=1"
127,Arraiá da Integração,2024-07-05,Junino,Lucas do Rio Verde/MT,"width=device-width, initial-scale=1"
128,31ª FESTA DO PRODUTOR RURAL DE JAGUARÉ E FEIRA DE AGRONEGÓCIOS,2024-07-05,Comercial ou Promocional,Jaguaré/ES,"width=device-width, initial-scale=1"
129,ITA CHITÃO- FESTIVAL JUNINO DE ITAREMA,2024-07-05,Artístico/Cultural/Folclórico,Itarema/CE,"width=device-width, initial-scale=1"
130,Picos Pro Race 2024,2024-07-05,Esportivo,Picos/PI,"width=device-width, initial-scale=1"
131,XV - ARRAIÁ DO TIO JOÃO,2024-07-05,Junino,Luziânia/GO,"width=device-width, initial-scale=1"
132,Festa da Colônia,2024-07-05,Artístico/Cultural/Folclórico,Candelária/RS,"width=device-width, initial-scale=1"
133,4º Rasta Pé do Gavião - Umarizal/RN,2024-07-05,Junino,Umarizal/RN,"width=device-width, initial-scale=1"
134,Verão Bragança Ajurusol,2024-07-05,Outro,Bragança/PA,"width=device-width, initial-scale=1"
135,Festival de Música Caipira 2024,2024-07-05,Artístico/Cultural/Folclórico,Brotas/SP,"width=device-width, initial-scale=1"
136,Festa da Tainha,2024-07-05,Gastronômico,Praia Grande/SP,"width=device-width, initial-scale=1"
137,3° Festa da Tainha -  Palhoça/SC,2024-07-06,Artístico/Cultural/Folclórico,Palhoça/SC,"width=device-width, initial-scale=1"
138,9º PRIDE BÚZIOS,2024-07-06,Artístico/Cultural/Folclórico,Armação dos Búzios/RJ,"width=device-width, initial-scale=1"
139,Aniversário de Bragança,2024-07-06,Outro,Bragança/PA,"width=device-width, initial-scale=1"
140,Festa Julina,2024-07-06,Artístico/Cultural/Folclórico,Serra Negra/SP,"width=device-width, initial-scale=1"
141,27ª Festival das Cerejeiras Bunkyos,2024-07-06,Artístico/Cultural/Folclórico,São Roque/SP,"width=device-width, initial-scale=1"
142,FESTA DA PADROEIRA “NOSSA SENHORA DO CARMO”,2024-07-06,Religioso,Parintins/AM,"width=device-width, initial-scale=1"
143,"CasaCor Minas 2024 - “De presente, o Agora”",2024-07-06,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
144,PASSEIO CICLÍSTICO,2024-07-07,Ecoturismo,Porto dos Gaúchos/MT,"width=device-width, initial-scale=1"
145,Grande Encontro de Violeiros em Brotas,2024-07-07,Artístico/Cultural/Folclórico,Brotas/SP,"width=device-width, initial-scale=1"
146,Festival Café Cultural,2024-07-11,Artístico/Cultural/Folclórico,Taquaritinga do Norte/PE,"width=device-width, initial-scale=1"
147,Festival de Inverno São Roque 2024,2024-07-11,Artístico/Cultural/Folclórico,São Roque/SP,"width=device-width, initial-scale=1"
148,XXXI Festa Virakopos,2024-07-12,Artístico/Cultural/Folclórico,Pocrane/MG,"width=device-width, initial-scale=1"
149,Campeonato de Futsal,2024-07-12,Esportivo,São Domingos/SE,"width=device-width, initial-scale=1"
150,Festa do Milho,2024-07-12,Gastronômico,São Pedro da Aldeia/RJ,"width=device-width, initial-scale=1"
151,60ª FESTA DA JUVENTUDE - SANTANA DO IPANEMA/AL,2024-07-12,Artístico/Cultural/Folclórico,Santana do Ipanema/AL,"width=device-width, initial-scale=1"
152,ROCK RIO PARDO,2024-07-12,Artístico/Cultural/Folclórico,Santa Cruz do Rio Pardo/SP,"width=device-width, initial-scale=1"
153,MIRACAXI,2024-07-12,Artístico/Cultural/Folclórico,Miracema do Tocantins/TO,"width=device-width, initial-scale=1"
154,Festival de Inverno de Poços de Caldas,2024-07-12,Artístico/Cultural/Folclórico,Poços de Caldas/MG,"width=device-width, initial-scale=1"
155,30ª Festa Colonial de Canela,2024-07-12,Rural,Canela/RS,"width=device-width, initial-scale=1"
156,Férias Kids,2024-07-13,Outro,Piratuba/SC,"width=device-width, initial-scale=1"
157,SERENATA ITALIANA,2024-07-13,Artístico/Cultural/Folclórico,Venda Nova do Imigrante/ES,"width=device-width, initial-scale=1"
158,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-07-13,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
159,Concurso da Escolha da Rainha,2024-07-13,Artístico/Cultural/Folclórico,Pirajuba/MG,"width=device-width, initial-scale=1"
160,Crochetaço Circuito das Águas,2024-07-13,Artístico/Cultural/Folclórico,Serra Negra/SP,"width=device-width, initial-scale=1"
161,FECIN  (Festival de Cervejas de Inverno),2024-07-13,Gastronômico,Guarapuava/PR,"width=device-width, initial-scale=1"
162,Parada do Orgulho LGBTQIAP+,2024-07-14,Artístico/Cultural/Folclórico,Salto/SP,"width=device-width, initial-scale=1"
163,PINDORECANA,2024-07-14,Artístico/Cultural/Folclórico,Pindoretama/CE,"width=device-width, initial-scale=1"
164,Aniversário da cidade,2024-07-15,Outro,Pedro Afonso/TO,"width=device-width, initial-scale=1"
